date,post_flag,post_purple,any_primary_or_recovered_base_match,exact_label_match,source_url
2021-04-09,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-9-2021-panama-city-beach-flags-are-now-double-red/
2021-04-11,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-11-2021-panama-city-beach-flags-are-now-single-red/
2021-04-14,Double Red,False,False,False,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-14-2021-panama-city-beach-flags-are-now-double-red/
2021-04-16,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-16-2021-panama-city-beach-flags-are-now-single-red/
2021-04-17,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-17-2021-panama-city-beach-flags-are-now-yellow/
2021-04-24,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-23-2021-panama-city-beach-flags-are-now-double-red/
2021-04-28,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-april-28-2021-panama-city-beach-flags-are-now-yellow/
2021-05-03,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-3-2021-panama-city-beach-flags-are-now-double-red/
2021-05-04,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-4-2021-panama-city-beach-flags-are-now-double-red-2/
2021-05-06,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-6-2021-panama-city-beach-flags-are-now-single-red/
2021-05-07,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-7-2021-panama-city-beach-flags-are-now-yellow/
2021-05-17,Single Red,False,False,False,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-17-2021-panama-city-beach-flags-are-now-single-red/
2021-05-19,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-19-2021-panama-city-beach-flags-are-now-double-red/
2021-05-21,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-21-2021-panama-city-beach-flags-are-now-double-red/
2021-05-22,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-22-2021-panama-city-beach-flags-are-now-single-red/
2021-05-23,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-23-2021-panama-city-beach-flags-are-now-yellow/
2021-05-29,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-29-2021-panama-city-beach-flags-are-now-single-red/
2021-05-30,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-may-30-2021-panama-city-beach-flags-are-now-yellow/
2021-06-06,Single Red,False,False,False,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-6-2021-panama-city-beach-flags-are-now-single-red/
2021-06-10,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-10-2021-panama-city-beach-flags-are-now-yellow/
2021-06-12,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-12-2021-panama-city-beach-flags-are-now-single-red/
2021-06-14,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-14-2021-panama-city-beach-flags-are-now-yellow/
2021-06-17,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-17-2021-panama-city-beach-flags-are-now-single-red/
2021-06-18,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-18-2021-panama-city-beach-flags-are-now-double-red/
2021-06-23,Double Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-23-2021-panama-city-beach-flags-are-now-double-red/
2021-06-23,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-23-2021-panama-city-beach-flags-are-now-single-red/
2021-06-28,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-june-28-2021-panama-city-beach-flags-are-now-yellow/
2021-07-02,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-2-2021-panama-city-beach-flags-are-now-single-red/
2021-07-06,Single Red,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-6-2021-panama-city-beach-flags-are-now-single-red/
2021-07-06,Yellow,False,False,False,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-6-2021-panama-city-beach-flags-are-now-yellow-2/
2021-07-08,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-8-2021-panama-city-beach-flags-are-now-yellow/
2021-07-11,Single Red,False,False,False,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-11-2021-panama-city-beach-flags-are-now-single-red/
2021-07-13,Single Red,True,True,False,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-13-2021-panama-city-beach-flags-are-now-single-red-purple/
2021-07-16,Yellow,False,True,True,https://www.westendpcb.com/panama-city-beach-weather/flag-status-update-july-16-2021-panama-city-beach-flags-are-now-yellow/
